call_number,file1,file2
ENA NS 25 030,ENA_NS_25_030_r.tif.jpg,ENA_NS_25_030_v.tif.jpg
ENA NS 25 031,ENA_NS_25_031_r.tif.jpg,ENA_NS_25_031_v.tif.jpg
ENA NS 26 001,ENA_NS_26_001_r.tif.jpg,ENA_NS_26_001_v.tif.jpg
ENA NS 26 002,ENA_NS_26_002_r.tif.jpg,ENA_NS_26_002_v.tif.jpg
ENA NS 26 003,ENA_NS_26_003_r.tif.jpg,ENA_NS_26_003_v.tif.jpg
ENA NS 26 004,ENA_NS_26_004_r.tif.jpg,ENA_NS_26_004_v.tif.jpg
ENA NS 26 005,ENA_NS_26_005_r.tif.jpg,ENA_NS_26_005_v.tif.jpg
ENA NS 26 006,ENA_NS_26_006_r.tif.jpg,ENA_NS_26_006_v.tif.jpg
ENA NS 26 007,ENA_NS_26_007_r.tif.jpg,ENA_NS_26_007_v.tif.jpg
ENA NS 26 008,ENA_NS_26_008_r.tif.jpg,ENA_NS_26_008_v.tif.jpg
ENA NS 26 009,ENA_NS_26_009_r.tif.jpg,ENA_NS_26_009_v.tif.jpg
ENA NS 26 010,ENA_NS_26_010_r.tif.jpg,ENA_NS_26_010_v.tif.jpg
ENA NS 26 011,ENA_NS_26_011_r.tif.jpg,ENA_NS_26_011_v.tif.jpg
ENA NS 26 012,ENA_NS_26_012_r.tif.jpg,ENA_NS_26_012_v.tif.jpg
ENA NS 26 013,ENA_NS_26_013_r.tif.jpg,ENA_NS_26_013_v.tif.jpg
ENA NS 26 014,ENA_NS_26_014_r.tif.jpg,ENA_NS_26_014_v.tif.jpg
ENA NS 26 015,ENA_NS_26_015_r.tif.jpg,ENA_NS_26_015_v.tif.jpg
ENA NS 26 016,ENA_NS_26_016_r.tif.jpg,ENA_NS_26_016_v.tif.jpg
ENA NS 26 017,ENA_NS_26_017_r.tif.jpg,ENA_NS_26_017_v.tif.jpg
ENA NS 26 018,ENA_NS_26_018_r.tif.jpg,ENA_NS_26_018_v.tif.jpg
ENA NS 26 019,ENA_NS_26_019_r.tif.jpg,ENA_NS_26_019_v.tif.jpg
ENA NS 26 020,ENA_NS_26_020_r.tif.jpg,ENA_NS_26_020_v.tif.jpg
ENA NS 26 021,ENA_NS_26_021_r.tif.jpg,ENA_NS_26_021_v.tif.jpg
ENA NS 26 022,ENA_NS_26_022_r.tif.jpg,ENA_NS_26_022_v.tif.jpg
ENA NS 26 023,ENA_NS_26_023_r.tif.jpg,ENA_NS_26_023_v.tif.jpg
ENA NS 26 024,ENA_NS_26_024_r.tif.jpg,ENA_NS_26_024_v.tif.jpg
ENA NS 26 025,ENA_NS_26_025_r.tif.jpg,ENA_NS_26_025_v.tif.jpg
ENA NS 26 026,ENA_NS_26_026_r.tif.jpg,ENA_NS_26_026_v.tif.jpg
ENA NS 26 027,ENA_NS_26_027_r.tif.jpg,
ENA NS 26 028,ENA_NS_26_028_r.tif.jpg,ENA_NS_26_028_v.tif.jpg
ENA NS 26 029,ENA_NS_26_029_r.tif.jpg,ENA_NS_26_029_v.tif.jpg
ENA NS 26 030,ENA_NS_26_030_r.tif.jpg,ENA_NS_26_030_v.tif.jpg
ENA NS 26 031,ENA_NS_26_031_r.tif.jpg,ENA_NS_26_031_v.tif.jpg
ENA NS 26 032,ENA_NS_26_032_r.tif.jpg,ENA_NS_26_032_v.tif.jpg
ENA NS 28 001,ENA_NS_28_001_r.tif.jpg,ENA_NS_28_001_v.tif.jpg
ENA NS 28 002,ENA_NS_28_002_r.tif.jpg,ENA_NS_28_002_v.tif.jpg
ENA NS 28 003,ENA_NS_28_003_r.tif.jpg,ENA_NS_28_003_v.tif.jpg
ENA NS 28 004,ENA_NS_28_004_r.tif.jpg,ENA_NS_28_004_v.tif.jpg
ENA NS 28 005,ENA_NS_28_005_r.tif.jpg,ENA_NS_28_005_v.tif.jpg
ENA NS 28 006,ENA_NS_28_006_r.tif.jpg,ENA_NS_28_006_v.tif.jpg
ENA NS 28 007,ENA_NS_28_007_r.tif.jpg,ENA_NS_28_007_v.tif.jpg
ENA NS 28 008,ENA_NS_28_008_r.tif.jpg,ENA_NS_28_008_v.tif.jpg
ENA NS 28 009,ENA_NS_28_009_r.tif.jpg,ENA_NS_28_009_v.tif.jpg
ENA NS 28 010,ENA_NS_28_010_r.tif.jpg,ENA_NS_28_010_v.tif.jpg
ENA NS 28 011,ENA_NS_28_011_r.tif.jpg,ENA_NS_28_011_v.tif.jpg
